Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
2026/8/30,2,5,安田,Right,9,Left,0,2,2,ChangeUp,StrikeSwinging,117,Out,
2026/8/30,3,1,安田,Right,1,Right,1,0,0,TwoSeamFastball,StrikeCalled,122,,
2026/8/30,3,2,安田,Right,1,Right,1,0,1,Fastball,FoulBallFieldable,143,,
2026/8/30,3,3,安田,Right,1,Right,1,0,2,Fastball,InPlay,143,Out,FlyBall
2026/8/30,4,1,安田,Right,2,Right,2,0,0,ChangeUp,BallCalled,110,,
2026/8/30,4,2,安田,Right,2,Right,2,1,0,TwoSeamFastball,StrikeCalled,122,,
2026/8/30,4,3,安田,Right,2,Right,2,1,1,TwoSeamFastball,BallCalled,125,,
2026/8/30,4,4,安田,Right,2,Right,2,2,1,TwoSeamFastball,StrikeCalled,119,,
2026/8/30,4,5,安田,Right,2,Right,2,2,2,TwoSeamFastball,FoulBallFieldable,125,,
2026/8/30,4,6,安田,Right,2,Right,2,2,2,TwoSeamFastball,InPlay,122,Out,GroundBall
2026/8/30,1,1,安田,Right,3,Right,0,0,0,TwoSeamFastball,StrikeCalled,126,,
2026/8/30,1,2,安田,Right,3,Right,0,0,1,Fastball,InPlay,143,Out,FlyBall
2026/8/30,2,1,安田,Right,4,Right,1,0,0,Fastball,BallCalled,144,,
2026/8/30,2,2,安田,Right,4,Right,1,1,0,Fastball,BallCalled,144,,
2026/8/30,2,3,安田,Right,4,Right,1,2,0,TwoSeamFastball,BallCalled,119,,
2026/8/30,2,4,安田,Right,4,Right,1,3,0,TwoSeamFastball,StrikeCalled,124,,
2026/8/30,2,5,安田,Right,4,Right,1,3,1,TwoSeamFastball,BallCalled,119,Walk,
2026/8/30,3,1,安田,Right,5,Right,1,0,0,TwoSeamFastball,FoulBallFieldable,125,,
2026/8/30,3,2,安田,Right,5,Right,1,0,1,TwoSeamFastball,InPlay,127,Single,LineDrive
2026/8/30,4,1,安田,Right,6,Left,1,0,0,TwoSeamFastball,StrikeCalled,121,,
2026/8/30,4,2,安田,Right,6,Left,1,0,1,TwoSeamFastball,InPlay,120,Sacrifice,FlyBall
2026/8/30,5,1,安田,Right,7,Right,2,0,0,TwoSeamFastball,StrikeCalled,112,,
2026/8/30,5,2,安田,Right,7,Right,2,0,1,Fastball,BallCalled,138,,
2026/8/30,5,3,安田,Right,7,Right,2,1,1,Fastball,BallCalled,143,,
2026/8/30,5,4,安田,Right,7,Right,2,2,1,TwoSeamFastball,BallCalled,113,,
2026/8/30,5,5,安田,Right,7,Right,2,3,1,Fastball,FoulBallFieldable,143,,
2026/8/30,5,6,安田,Right,7,Right,2,3,2,TwoSeamFastball,BallCalled,126,Walk,
2026/8/30,6,1,安田,Right,8,Right,2,0,0,Fastball,StrikeCalled,139,,
2026/8/30,6,2,安田,Right,8,Right,2,0,1,Fastball,BallCalled,140,,
2026/8/30,6,3,安田,Right,8,Right,2,1,1,Fastball,FoulBallFieldable,141,,
2026/8/30,6,4,安田,Right,8,Right,2,1,2,Fastball,BallCalled,144,,
2026/8/30,6,5,安田,Right,8,Right,2,2,2,TwoSeamFastball,InPlay,113,Single,GroundBall
2026/8/30,7,1,安田,Right,9,Left,2,0,0,TwoSeamFastball,StrikeSwinging,122,,
2026/8/30,7,2,安田,Right,9,Left,2,0,1,TwoSeamFastball,StrikeSwinging,123,,
2026/8/30,7,3,安田,Right,9,Left,2,0,2,TwoSeamFastball,StrikeSwinging,124,Out,
2026/8/30,1,1,香西,Left,1,Right,0,0,0,Fastball,BallCalled,134,,
2026/8/30,1,2,香西,Left,1,Right,0,1,0,Fastball,StrikeCalled,135,,
2026/8/30,1,3,香西,Left,1,Right,0,1,1,Cutter,BallCalled,126,,
2026/8/30,1,4,香西,Left,1,Right,0,2,1,Fastball,BallCalled,138,,
2026/8/30,1,5,香西,Left,1,Right,0,3,1,Fastball,FoulBallFieldable,138,,
2026/8/30,1,6,香西,Left,1,Right,0,3,2,Fastball,FoulBallFieldable,138,,
2026/8/30,1,7,香西,Left,1,Right,0,3,2,Fastball,InPlay,135,Out,FlyBall
2026/8/30,2,1,香西,Left,2,Right,1,0,0,Slider,BallCalled,121,,
2026/8/30,2,2,香西,Left,2,Right,1,1,0,Slider,FoulBallFieldable,120,,
2026/8/30,2,3,香西,Left,2,Right,1,1,1,Fastball,BallCalled,138,,
